[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	05/11/2021 13:32:07
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	300,00 to 800,00
Scan Speed:	Medium
Sampling Interval:	2,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Reflectance
Slit Width:	8,0 nm
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	295,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	900,00 nm  1650,00 nm
Grating Change Wavelength:	830,00 nm
S/R Exchange:	Inverse
Detector Lock:	Auto
Slit Program:	Normal
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	Positions.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
300.0	13.388
302.0	12.562
304.0	11.553
306.0	11.737
308.0	11.539
310.0	11.225
312.0	11.445
314.0	11.700
316.0	11.650
318.0	11.556
320.0	10.874
322.0	10.843
324.0	10.485
326.0	10.868
328.0	11.727
330.0	13.817
332.0	16.481
334.0	19.057
336.0	20.900
338.0	21.439
340.0	20.975
342.0	18.960
344.0	16.014
346.0	12.689
348.0	9.701
350.0	7.707
352.0	6.701
354.0	6.795
356.0	7.493
358.0	8.440
360.0	9.143
362.0	9.422
364.0	9.180
366.0	8.577
368.0	7.903
370.0	7.421
372.0	7.362
374.0	7.808
376.0	8.768
378.0	10.124
380.0	11.656
382.0	13.130
384.0	14.328
386.0	15.101
388.0	15.366
390.0	15.123
392.0	14.389
394.0	13.261
396.0	11.851
398.0	10.304
400.0	8.785
402.0	7.485
404.0	6.614
406.0	6.277
408.0	6.517
410.0	7.293
412.0	8.536
414.0	10.160
416.0	12.000
418.0	13.916
420.0	15.759
422.0	17.397
424.0	18.737
426.0	19.734
428.0	20.337
430.0	20.532
432.0	20.289
434.0	19.670
436.0	18.725
438.0	17.515
440.0	16.108
442.0	14.594
444.0	13.061
446.0	11.653
448.0	10.473
450.0	9.635
452.0	9.246
454.0	9.387
456.0	10.109
458.0	11.334
460.0	12.997
462.0	14.974
464.0	17.135
466.0	19.353
468.0	21.545
470.0	23.705
472.0	25.801
474.0	27.791
476.0	29.598
478.0	31.102
480.0	32.237
482.0	32.965
484.0	33.314
486.0	33.283
488.0	32.871
490.0	32.080
492.0	30.924
494.0	29.393
496.0	27.480
498.0	25.192
500.0	22.587
502.0	19.730
504.0	16.771
506.0	13.889
508.0	11.335
510.0	9.349
512.0	8.176
514.0	8.027
516.0	9.037
518.0	11.304
520.0	14.776
522.0	19.309
524.0	24.640
526.0	30.551
528.0	36.724
530.0	43.026
532.0	48.975
534.0	54.395
536.0	59.084
538.0	63.202
540.0	66.875
542.0	70.136
544.0	73.046
546.0	75.548
548.0	77.735
550.0	79.634
552.0	81.336
554.0	82.743
556.0	83.989
558.0	85.077
560.0	86.052
562.0	86.869
564.0	87.545
566.0	88.190
568.0	88.782
570.0	89.319
572.0	89.787
574.0	90.196
576.0	90.589
578.0	90.970
580.0	91.280
582.0	91.570
584.0	91.739
586.0	91.945
588.0	92.121
590.0	92.345
592.0	92.524
594.0	92.662
596.0	92.754
598.0	92.782
600.0	92.870
602.0	92.972
604.0	93.100
606.0	93.177
608.0	93.223
610.0	93.279
612.0	93.288
614.0	93.303
616.0	93.283
618.0	93.257
620.0	93.191
622.0	93.222
624.0	93.208
626.0	93.238
628.0	93.156
630.0	93.163
632.0	93.096
634.0	93.008
636.0	92.921
638.0	92.849
640.0	92.794
642.0	92.674
644.0	92.596
646.0	92.429
648.0	92.309
650.0	92.162
652.0	92.110
654.0	91.997
656.0	91.806
658.0	91.598
660.0	91.423
662.0	91.310
664.0	91.155
666.0	90.974
668.0	90.797
670.0	90.577
672.0	90.328
674.0	89.965
676.0	89.751
678.0	89.451
680.0	89.170
682.0	88.761
684.0	88.401
686.0	88.084
688.0	87.629
690.0	87.154
692.0	86.599
694.0	86.077
696.0	85.543
698.0	84.963
700.0	84.333
702.0	83.614
704.0	82.873
706.0	82.093
708.0	81.322
710.0	80.452
712.0	79.567
714.0	78.589
716.0	77.578
718.0	76.433
720.0	75.126
722.0	73.805
724.0	72.451
726.0	70.975
728.0	69.451
730.0	67.783
732.0	66.128
734.0	64.312
736.0	62.385
738.0	60.302
740.0	58.099
742.0	55.871
744.0	53.536
746.0	51.068
748.0	48.555
750.0	46.032
752.0	43.466
754.0	40.821
756.0	38.153
758.0	35.418
760.0	32.666
762.0	29.891
764.0	27.166
766.0	24.419
768.0	21.767
770.0	19.274
772.0	16.982
774.0	14.893
776.0	13.013
778.0	11.368
780.0	9.906
782.0	8.607
784.0	7.492
786.0	6.547
788.0	5.811
790.0	5.273
792.0	4.907
794.0	4.706
796.0	4.676
798.0	4.803
800.0	4.939
