[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	05/11/2021 13:36:32
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	300,00 to 800,00
Scan Speed:	Medium
Sampling Interval:	2,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Reflectance
Slit Width:	8,0 nm
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	295,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	900,00 nm  1650,00 nm
Grating Change Wavelength:	830,00 nm
S/R Exchange:	Inverse
Detector Lock:	Auto
Slit Program:	Normal
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	Positions.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
300.0	12.277
302.0	12.267
304.0	12.326
306.0	12.852
308.0	12.703
310.0	13.256
312.0	13.636
314.0	14.886
316.0	16.311
318.0	18.038
320.0	19.413
322.0	20.506
324.0	21.818
326.0	23.959
328.0	25.560
330.0	27.400
332.0	27.902
334.0	27.983
336.0	27.174
338.0	26.333
340.0	25.164
342.0	23.774
344.0	22.018
346.0	20.174
348.0	18.055
350.0	15.930
352.0	13.803
354.0	11.852
356.0	10.101
358.0	8.730
360.0	7.662
362.0	6.994
364.0	6.680
366.0	6.686
368.0	6.954
370.0	7.401
372.0	8.001
374.0	8.700
376.0	9.454
378.0	10.224
380.0	10.948
382.0	11.608
384.0	12.198
386.0	12.668
388.0	13.062
390.0	13.330
392.0	13.527
394.0	13.614
396.0	13.625
398.0	13.556
400.0	13.394
402.0	13.134
404.0	12.804
406.0	12.419
408.0	11.993
410.0	11.529
412.0	11.031
414.0	10.527
416.0	10.001
418.0	9.490
420.0	8.993
422.0	8.518
424.0	8.068
426.0	7.672
428.0	7.331
430.0	7.067
432.0	6.880
434.0	6.771
436.0	6.743
438.0	6.807
440.0	6.979
442.0	7.252
444.0	7.615
446.0	8.071
448.0	8.620
450.0	9.268
452.0	10.033
454.0	10.881
456.0	11.800
458.0	12.768
460.0	13.799
462.0	14.876
464.0	15.964
466.0	17.050
468.0	18.154
470.0	19.286
472.0	20.474
474.0	21.724
476.0	23.050
478.0	24.387
480.0	25.728
482.0	27.039
484.0	28.330
486.0	29.577
488.0	30.759
490.0	31.904
492.0	33.043
494.0	34.177
496.0	35.311
498.0	36.378
500.0	37.456
502.0	38.512
504.0	39.573
506.0	40.549
508.0	41.479
510.0	42.356
512.0	43.216
514.0	44.058
516.0	44.871
518.0	45.657
520.0	46.420
522.0	47.149
524.0	47.840
526.0	48.506
528.0	49.145
530.0	49.809
532.0	50.426
534.0	51.016
536.0	51.543
538.0	52.028
540.0	52.497
542.0	52.968
544.0	53.415
546.0	53.831
548.0	54.249
550.0	54.660
552.0	55.079
554.0	55.378
556.0	55.677
558.0	55.973
560.0	56.277
562.0	56.557
564.0	56.767
566.0	57.007
568.0	57.221
570.0	57.452
572.0	57.639
574.0	57.821
576.0	57.974
578.0	58.164
580.0	58.327
582.0	58.495
584.0	58.603
586.0	58.736
588.0	58.847
590.0	58.941
592.0	59.033
594.0	59.090
596.0	59.179
598.0	59.229
600.0	59.299
602.0	59.358
604.0	59.363
606.0	59.390
608.0	59.380
610.0	59.411
612.0	59.408
614.0	59.406
616.0	59.403
618.0	59.358
620.0	59.328
622.0	59.287
624.0	59.254
626.0	59.230
628.0	59.172
630.0	59.140
632.0	59.056
634.0	58.972
636.0	58.905
638.0	58.804
640.0	58.730
642.0	58.597
644.0	58.505
646.0	58.380
648.0	58.243
650.0	58.119
652.0	58.013
654.0	57.910
656.0	57.735
658.0	57.553
660.0	57.417
662.0	57.320
664.0	57.218
666.0	57.063
668.0	56.933
670.0	56.784
672.0	56.660
674.0	56.448
676.0	56.311
678.0	56.118
680.0	56.001
682.0	55.818
684.0	55.634
686.0	55.449
688.0	55.191
690.0	54.989
692.0	54.765
694.0	54.597
696.0	54.397
698.0	54.157
700.0	53.928
702.0	53.693
704.0	53.446
706.0	53.212
708.0	53.020
710.0	52.779
712.0	52.595
714.0	52.320
716.0	52.091
718.0	51.759
720.0	51.506
722.0	51.223
724.0	50.988
726.0	50.654
728.0	50.438
730.0	50.148
732.0	49.898
734.0	49.594
736.0	49.314
738.0	49.024
740.0	48.771
742.0	48.489
744.0	48.240
746.0	47.883
748.0	47.637
750.0	47.275
752.0	47.017
754.0	46.706
756.0	46.488
758.0	46.218
760.0	45.892
762.0	45.545
764.0	45.208
766.0	44.852
768.0	44.575
770.0	44.226
772.0	43.906
774.0	43.515
776.0	43.225
778.0	42.918
780.0	42.651
782.0	42.297
784.0	41.955
786.0	41.618
788.0	41.343
790.0	41.047
792.0	40.742
794.0	40.351
796.0	40.043
798.0	39.696
800.0	39.521
